package,city,place_tourism1,place_tourism2,place_tourism3,place_tourism4,place_tourism5,places
73,Semarang,Monumen Palagan Ambarawa,Benteng Pendem,Museum Kereta Ambarawa,Kota Lama Semarang,Semarang Chinatown,Monumen Palagan Ambarawa Benteng Pendem Museum Kereta Ambarawa Kota Lama Semarang Semarang Chinatown
74,Semarang,Kampung Pelangi,Hutan Wisata Tinjomoyo Semarang,Taman Kasmaran,None,None,Kampung Pelangi Hutan Wisata Tinjomoyo Semarang Taman Kasmaran None None
75,Semarang,Wisata Mangrove Tapak,Umbul Sidomukti,Wisata Alam Wana Wisata Penggaron,None,None,Wisata Mangrove Tapak Umbul Sidomukti Wisata Alam Wana Wisata Penggaron None None
76,Semarang,Candi Gedong Songo,Grand Maerakaca,Lawang Sewu,None,None,Candi Gedong Songo Grand Maerakaca Lawang Sewu None None
77,Semarang,Tirto Argo Siwarak,Wisata Eling Bening,Semarang Chinatown,La Kana Chapel,None,Tirto Argo Siwarak Wisata Eling Bening Semarang Chinatown La Kana Chapel None
78,Semarang,Pantai Baruna,Pantai Marina,Wisata Mangrove Tapak,Pantai Cipta,None,Pantai Baruna Pantai Marina Wisata Mangrove Tapak Pantai Cipta None
79,Semarang,Waduk Jatibarang,Kampoeng Rawa,Gua Maria Kerep Ambarawa,Kota Lama Semarang,None,Waduk Jatibarang Kampoeng Rawa Gua Maria Kerep Ambarawa Kota Lama Semarang None
80,Semarang,Desa Wisata Lembah Kalipancur,Masjid Kapal Semarang,Kota Lama Semarang,Brown Canyon,None,Desa Wisata Lembah Kalipancur Masjid Kapal Semarang Kota Lama Semarang Brown Canyon None
81,Surabaya,Taman Prestasi,Taman Keputran,Taman Bungkul,Taman Flora Bratang Surabaya,None,Taman Prestasi Taman Keputran Taman Bungkul Taman Flora Bratang Surabaya None
82,Surabaya,Museum Sepuluh Nopember Kota Surabaya,Museum Kesehatan Dr. Adhyatma,Patung Buddha Empat Rupa,Museum TNI AL Loka Jala Crana,Keraton Surabaya,Museum Sepuluh Nopember Kota Surabaya Museum Kesehatan Dr. Adhyatma Patung Buddha Empat Rupa Museum TNI AL Loka Jala Crana Keraton Surabaya
